id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999552965164
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999776482582
0.csv_Day7_7h30m,0.17000000178813934,0.3149999976158142,0.5400000214576721,0.9900000095367432,0.6650000214576721,0.9900000095367432,1.5199999809265137,2.755000114440918,6.139999866485596
0.csv_Day7_8h00m,1.5,2.8399999141693115,4.230000019073486,5.5,7.489999771118164,8.104999542236328,8.619999885559082,12.190000534057617,21.290000915527344
0.csv_Day7_8h30m,2.8399999141693115,5.380000114440918,7.699999809265137,9.979999542236328,10.569999694824219,13.289999961853027,13.619999885559082,16.024999618530273,30.549999237060547
0.csv_Day7_9h00m,5.539999961853027,8.640000343322754,13.949999809265137,16.399999618530273,18.479999542236328,20.630001068115234,21.899999618530273,24.934999465942383,35.779998779296875
0.csv_Day7_9h30m,7.309999942779541,12.604999542236328,17.780000686645508,20.975000381469727,24.170000076293945,25.75,27.239999771118164,28.049999237060547,32.43000030517578
0.csv_Day7_10h00m,12.949999809265137,18.405000686645508,24.239999771118164,27.095001220703125,33.0099983215332,34.5,34.060001373291016,35.08000183105469,37.0099983215332
0.csv_Day7_10h30m,15.21500015258789,21.959999084472656,26.639999389648438,32.90999984741211,38.529998779296875,36.040000915527344,40.84000015258789,36.68000030517578,39.95000076293945
0.csv_Day7_11h00m,19.579999923706055,24.744998931884766,30.579999923706055,34.345001220703125,38.279998779296875,41.310001373291016,42.65999984741211,44.15999984741211,45.029998779296875
0.csv_Day7_11h30m,16.56999969482422,26.739999771118164,28.700000762939453,34.03499984741211,35.41999816894531,39.2400016784668,41.20000076293945,43.29999923706055,46.099998474121094
0.csv_Day7_12h00m,16.149999618530273,27.059999465942383,29.719999313354492,36.27000045776367,36.79999923706055,40.11000061035156,43.4900016784668,45.369998931884766,46.91999816894531
0.csv_Day7_12h30m,18.030000686645508,25.770000457763672,29.235000610351562,32.994998931884766,38.459999084472656,41.810001373291016,41.66999816894531,44.70000076293945,46.029998779296875
