id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day7_0h30m,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.csv_Day7_1h00m,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
0.csv_Day7_1h30m,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_2h00m,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_3h00m,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.csv_Day7_4h30m,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_6h00m,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.009999999776482582,-0.0,-0.0,0.009999999776482582,0.009999999776482582,0.0
0.csv_Day7_7h00m,-0.0,0.0,0.0,0.009999999776482582,-0.0,0.0,-0.0,0.0,0.0
0.csv_Day7_7h30m,0.03999999910593033,0.0,0.18000000715255737,0.0,0.5299999713897705,0.12999999523162842,1.0299999713897705,1.590000033378601,1.690000057220459
0.csv_Day7_8h00m,2.440000057220459,6.53000020980835,6.349999904632568,5.699999809265137,7.489999771118164,8.050000190734863,7.900000095367432,9.079999923706055,8.579999923706055
0.csv_Day7_8h30m,3.569999933242798,5.880000114440918,8.350000381469727,12.109999656677246,12.649999618530273,12.5600004196167,12.130000114440918,13.520000457763672,14.630000114440918
0.csv_Day7_9h00m,5.599999904632568,10.460000038146973,13.949999809265137,19.440000534057617,18.479999542236328,19.079999923706055,19.540000915527344,20.530000686645508,20.81999969482422
0.csv_Day7_9h30m,7.869999885559082,11.010000228881836,18.020000457763672,20.959999084472656,25.489999771118164,25.75,27.110000610351562,28.049999237060547,27.969999313354492
0.csv_Day7_10h00m,9.630000114440918,16.219999313354492,17.829999923706055,21.760000228881836,33.0099983215332,35.0,34.939998626708984,35.91999816894531,37.0099983215332
0.csv_Day7_10h30m,11.170000076293945,18.049999237060547,25.209999084472656,35.40999984741211,39.54999923706055,42.310001373291016,41.36000061035156,41.630001068115234,41.56999969482422
0.csv_Day7_11h00m,19.579999923706055,22.149999618530273,28.790000915527344,33.52000045776367,38.279998779296875,42.63999938964844,44.36000061035156,44.15999984741211,44.400001525878906
0.csv_Day7_11h30m,11.149999618530273,26.739999771118164,28.700000762939453,31.93000030517578,42.040000915527344,43.29999923706055,42.900001525878906,43.29999923706055,45.25
0.csv_Day7_12h00m,20.81999969482422,29.25,34.529998779296875,36.93000030517578,44.529998779296875,43.90999984741211,44.869998931884766,45.369998931884766,46.91999816894531
